"head"	"genomeSize"	"description"
"Maize necrotic streak virus"	4094	"Maize necrotic streak virus"
"Maize rayado fino virus"	6305	"Maize rayado fino virus"
"Maize streak virus - A[South Africa]"	2690	"Maize streak virus - A[South Africa]"
"Maize white line mosaic virus"	4293	"Maize white line mosaic virus"
"Mal de Rio Cuarto virus"	29096	"Mal de Rio Cuarto virus segment 9"
"Malachra yellow vein mosaic virus"	1339	"Malachra yellow vein mosaic virus-associated satellite DNA beta"
"Malva mosaic virus"	6858	"Malva mosaic virus"
"Malvastrum leaf curl Guangdong virus"	2767	"Malvastrum leaf curl Guangdong virus"
"Malvastrum leaf curl virus - [G87]"	2745	"Malvastrum leaf curl virus - [G87]"
"Malvastrum leaf curl virus"	2249	"Malvastrum leaf curl virus-associated defective DNA beta"
"Malvastrum yellow mosaic virus"	5458	"Malvastrum yellow mosaic virus DNA-A"
"Malvastrum yellow vein Baoshan virus"	2743	"Malvastrum yellow vein Baoshan virus DNA-A"
"Malvastrum yellow vein virus"	4079	"Malvastrum yellow vein virus"
"Malvastrum yellow vein Yunnan virus"	4097	"Malvastrum yellow vein Yunnan virus"
"Mamestra configurata NPV-A"	155060	"Mamestra configurata NPV-A"
"Mamestra configurata NPV-B"	158482	"Mamestra configurata NPV-B"
"Mammalian orthoreovirus 1"	23605	"Mammalian orthoreovirus 1 segment L1"
"Mammalian orthoreovirus 2"	23574	"Mammalian orthoreovirus 2 segment L1"
"Mammalian orthoreovirus 3"	46740	"Mammalian orthoreovirus 3 segment L1"
"Mannheimia phage"	34525	"Mannheimia phage phiMHaA1"
"Mapuera virus"	15486	"Mapuera virus"
"Maracuja mosaic virus"	6794	"Maracuja mosaic virus"
"Marine birnavirus"	5870	"Marine birnavirus segment A"
"Marine RNA virus JP-A"	9236	"Marine RNA virus JP-A"
"Marine RNA virus JP-B"	8926	"Marine RNA virus JP-B"
"Marine RNA virus SOG"	4449	"Marine RNA virus SOG"
"Marseillevirus"	368454	"Marseillevirus"
"Maruca vitrata MNPV"	111953	"Maruca vitrata MNPV"
"Mason-Pfizer monkey virus"	8557	"Mason-Pfizer monkey virus"
"Mastomys coucha papillomavirus 2"	7522	"Mastomys coucha papillomavirus 2"
"Mastomys natalensis papillomavirus"	7687	"Mastomys natalensis papillomavirus"
"Mayaro virus"	11411	"Mayaro virus"
"Measles virus"	15894	"Measles virus"
"Melandrium yellow fleck virus"	8535	"Melandrium yellow fleck virus RNA1"
"Melanoplus sanguinipes entomopoxvirus"	236120	"Melanoplus sanguinipes entomopoxvirus"
"Meleagrid herpesvirus 1"	159160	"Meleagrid herpesvirus 1"
"Melon aphid-borne yellows virus"	5674	"Melon aphid-borne yellows virus"
"Melon chlorotic leaf curl virus"	2663	"Melon chlorotic leaf curl virus DNA A"
"Melon chlorotic mosaic virus"	5235	"Melon chlorotic mosaic virus DNA-A"
"Melon chlorotic mosaic virus-associated alphasatellite"	1334	"Melon chlorotic mosaic virus-associated alphasatellite"
"Melon necrotic spot virus"	4266	"Melon necrotic spot virus"
"Melon yellow spot virus"	16965	"Melon yellow spot virus segment L"
"Menangle virus"	15516	"Menangle virus"
"Merkel cell polyomavirus"	5387	"Merkel cell polyomavirus"
"Merremia mosaic virus"	5049	"Merremia mosaic virus DNA A"
"Mesta yellow vein mosaic Bahraich virus"	2737	"Mesta yellow vein mosaic Bahraich virus-[India:Bahraich:2007] DNA A"
"Mesta yellow vein mosaic virus"	4082	"Mesta yellow vein mosaic virus DNA-A"
"Methanobacterium phage"	26111	"Methanobacterium phage psiM2"
"Methanothermobacter prophage"	28798	"Methanothermobacter prophage psiM100"
"Microbacterium phage"	46365	"Microbacterium phage Min1"
"Microcystis phage"	162109	"Microcystis phage Ma-LMM01"
"Micromonas pusilla reovirus"	25563	"Micromonas pusilla reovirus segment 1"
"Microplitis demolitor bracovirus"	185221	"Microplitis demolitor bracovirus segment A"
"Midway virus"	11752	"Midway virus"
"Mikania micrantha mosaic virus"	9280	"Mikania micrantha mosaic virus RNA1"
"Milk vetch dwarf virus"	10958	"Milk vetch dwarf virus segment 1"
"Mimosa yellow leaf curl virus"	5493	"Mimosa yellow leaf curl virus DNA-A"
"Mink astrovirus"	6610	"Mink astrovirus"
"Mint virus 1"	15450	"Mint virus 1"
"Mint virus X"	5914	"Mint virus X"
"Minute virus of mice"	5149	"Minute virus of mice"
"Mirabilis mosaic virus"	7857	"Mirabilis mosaic virus"
"Mirafiore lettuce virus"	12499	"Mirafiore lettuce virus RNA 1"
"Miscanthus streak virus - [91]"	2672	"Miscanthus streak virus - [91]"
"Mobala virus"	10705	"Mobala virus segment L"
"Modoc virus"	10600	"Modoc virus"
"Mokola virus"	11940	"Mokola virus"
"Molluscum contagiosum virus subtype 1"	190289	"Molluscum contagiosum virus subtype 1"
"Moloney murine leukemia virus"	8332	"Moloney murine leukemia virus"
"Moloney murine sarcoma virus"	5833	"Moloney murine sarcoma virus"
"Monkeypox virus Zaire-96-I-16"	196858	"Monkeypox virus Zaire-96-I-16"
"Montana myotis leukoencephalitis virus"	10690	"Montana myotis leukoencephalitis virus"
"Mopeia Lassa reassortant 29 segment L"	7271	"Mopeia Lassa reassortant 29 segment L"
"Mopeia Lassa reassortant 29 segment S"	3402	"Mopeia Lassa reassortant 29 segment S"
"Mopeia virus AN20410"	10698	"Mopeia virus AN20410 segment L"
"Morganella phage"	38234	"Morganella phage MmP1"
"Moroccan watermelon mosaic virus"	9730	"Moroccan watermelon mosaic virus"
"Morogoro virus"	10590	"Morogoro virus segment L"
"Mossman virus"	16650	"Mossman virus"
"Mouse mammary tumor virus"	8805	"Mouse mammary tumor virus"
"Mouse parvovirus 1"	5144	"Mouse parvovirus 1"
"Mouse parvovirus 2"	4756	"Mouse parvovirus 2"
"Mouse parvovirus 3"	4787	"Mouse parvovirus 3"
"Mouse parvovirus 4"	4800	"Mouse parvovirus 4"
"Mouse parvovirus 5"	4746	"Mouse parvovirus 5"
"Mulard duck circovirus"	1996	"Mulard duck circovirus"
"Mumps virus"	15384	"Mumps virus"
"Mungbean yellow mosaic India virus"	5361	"Mungbean yellow mosaic India virus DNA A"
"Mungbean yellow mosaic virus"	5398	"Mungbean yellow mosaic virus DNA A"
"Munia coronavirus HKU13-3514"	26552	"Munia coronavirus HKU13-3514"
"Murid herpesvirus 1"	230278	"Murid herpesvirus 1"
"Murid herpesvirus 2"	230138	"Murid herpesvirus 2"
"Murid herpesvirus 4"	119451	"Murid herpesvirus 4"
"Murine adenovirus 3"	30570	"Murine adenovirus 3"
"Murine adenovirus A"	61888	"Murine adenovirus A"
"Murine hepatitis virus strain A59"	31357	"Murine hepatitis virus strain A59"
"Murine hepatitis virus strain JHM"	31526	"Murine hepatitis virus strain JHM"
"Murine norovirus 1"	7382	"Murine norovirus 1"
"Murine osteosarcoma virus"	3811	"Murine osteosarcoma virus"
"Murine pneumotropic virus"	4754	"Murine pneumotropic virus"
"Murine polyomavirus"	5297	"Murine polyomavirus"
"Murine type C retrovirus"	8135	"Murine type C retrovirus"
"Murray Valley encephalitis virus"	11014	"Murray Valley encephalitis virus"
"Mus musculus papillomavirus type 1"	7510	"Mus musculus papillomavirus type 1"
"Musca domestica salivary gland hypertrophy virus"	124279	"Musca domestica salivary gland hypertrophy virus"
"Muscovy duck circovirus"	1988	"Muscovy duck circovirus"
"Muscovy duck parvovirus"	5132	"Muscovy duck parvovirus"
"Mushroom bacilliform virus"	4009	"Mushroom bacilliform virus"
"Mycobacterium phage"	4918515	"Mycobacterium phage 244"
"Mycoplasma phage"	42445	"Mycoplasma phage MAV1"
"Mycoreovirus 1"	23433	"Mycoreovirus 1 segment 1"
"Mycoreovirus 3"	24755	"Mycoreovirus 3 segment 10"
"Mycovirus"	3090	"Mycovirus FusoV RNA 1"
"Myotis polyomavirus VM-2008"	5081	"Myotis polyomavirus VM-2008"
"Mythimna loreyi densovirus"	6034	"Mythimna loreyi densovirus"
"Myxococcus phage"	49534	"Myxococcus phage Mx8"
"Myxoma virus"	161773	"Myxoma virus"
"Myzus persicae densovirus"	5499	"Myzus persicae densovirus"
"Nanovirus-like particle"	1377	"Nanovirus-like particle"
"Narcissus common latent virus"	8539	"Narcissus common latent virus"
"Narcissus degeneration virus"	9816	"Narcissus degeneration virus"
"Narcissus mosaic virus"	6955	"Narcissus mosaic virus"
"Narcissus symptomless virus"	8281	"Narcissus symptomless virus"
"Narcissus yellow stripe virus"	9650	"Narcissus yellow stripe virus"
"Natrialba phage"	58498	"Natrialba phage PhiCh1"
"Nemesia ring necrosis virus"	6285	"Nemesia ring necrosis virus"
"Neodiprion abietis NPV"	84264	"Neodiprion abietis NPV"
"Neodiprion lecontii NPV"	81755	"Neodiprion lecontii NPV"
"Neodiprion sertifer NPV"	86462	"Neodiprion sertifer NPV"
"Nerine virus X"	6582	"Nerine virus X"
"Newbury agent 1 virus"	7454	"Newbury agent 1 virus"
"Newcastle disease virus B1"	15186	"Newcastle disease virus B1"
"Ngaingan virus"	15764	"Ngaingan virus"
"Nilaparvata lugens reovirus"	28699	"Nilaparvata lugens reovirus segment 1"
"Nipah virus"	18246	"Nipah virus"
"Nodamura virus"	4540	"Nodamura virus RNA1"
"Nootka lupine vein-clearing virus"	4172	"Nootka lupine vein-clearing virus"
"Nora virus"	11908	"Nora virus"
"Northern cereal mosaic virus"	13222	"Northern cereal mosaic virus"
"Norwalk virus"	7654	"Norwalk virus"
"Nudaurelia capensis beta virus"	6625	"Nudaurelia capensis beta virus"
"Nyamanini virus"	11631	"Nyamanini virus"
"Oat blue dwarf virus"	6509	"Oat blue dwarf virus"
"Oat chlorotic stunt virus"	4114	"Oat chlorotic stunt virus"
"Oat dwarf virus"	2740	"Oat dwarf virus"
"Oat golden stripe virus"	10343	"Oat golden stripe virus RNA 1"
"Oat mosaic virus"	9834	"Oat mosaic virus RNA 1"
"Oat necrotic mottle virus"	9346	"Oat necrotic mottle virus"
"Obuda pepper virus"	6507	"Obuda pepper virus"
"Odontoglossum ringspot virus"	6618	"Odontoglossum ringspot virus"
"OkLCV satDNA 10"	1305	"OkLCV satDNA 10"
"Okra leaf curl disease associated DNA 1"	1388	"Okra leaf curl disease associated DNA 1"
"Okra leaf curl Mali virus"	1346	"Okra leaf curl Mali virus satellite DNA beta"
"Okra leaf curl virus-[Cameroon]"	2386	"Okra leaf curl virus-[Cameroon]"
"Okra mosaic virus"	6223	"Okra mosaic virus"
"Okra mottle virus"	5313	"Okra mottle virus - [Brazil:okra] DNA A"
"Okra yellow crinkle virus"	2792	"Okra yellow crinkle virus segment A"
"Okra yellow mosaic Mexico virus"	5194	"Okra yellow mosaic Mexico virus DNA A"
"Okra yellow vein disease associated sequence virion"	1307	"Okra yellow vein disease associated sequence virion"
"Okra yellow vein mosaic virus"	2739	"Okra yellow vein mosaic virus"
"Old World harvest mouse papillomavirus"	7393	"Old World harvest mouse papillomavirus"
"Olive latent virus 1"	3699	"Olive latent virus 1"
"Olive latent virus"	8301	"Olive latent virus 2 RNA 1"
"Olive latent virus 3"	7148	"Olive latent virus 3"
"Olive mild mosaic virus"	3683	"Olive mild mosaic virus"
"Oliveros virus"	10719	"Oliveros virus segment L"
"Omsk hemorrhagic fever virus"	10787	"Omsk hemorrhagic fever virus"
"Onion yellow dwarf virus"	10538	"Onion yellow dwarf virus"
"Ononis yellow mosaic virus"	6211	"Ononis yellow mosaic virus"
"O'nyong-nyong virus"	11835	"O'nyong-nyong virus"
"Operophtera brumata reovirus"	25194	"Operophtera brumata reovirus segment 1"
"Ophiostoma mitovirus 3a"	2617	"Ophiostoma mitovirus 3a"
"Ophiostoma mitovirus 4"	2599	"Ophiostoma mitovirus 4"
"Ophiostoma mitovirus 5"	2474	"Ophiostoma mitovirus 5"
"Ophiostoma novo-ulmi mitovirus 6-Ld"	2343	"Ophiostoma novo-ulmi mitovirus 6-Ld"
"Opuntia virus X"	6653	"Opuntia virus X"
"Orangutan polyomavirus"	5168	"Orangutan polyomavirus"
"Orchid fleck virus"	12414	"Orchid fleck virus RNA 1"
"Orf virus"	139962	"Orf virus"
"Orgyia leucostigma NPV"	156179	"Orgyia leucostigma NPV"
"Orgyia pseudotsugata MNPV"	131995	"Orgyia pseudotsugata MNPV"
"Oropouche virus"	11985	"Oropouche virus segment L"
"Oryctes rhinoceros virus"	127615	"Oryctes rhinoceros virus"
"Oryza rufipogon endornavirus"	13936	"Oryza rufipogon endornavirus"
"Oryza sativa endornavirus"	13952	"Oryza sativa endornavirus"
"Ostreid herpesvirus 1"	207439	"Ostreid herpesvirus 1"
"Ostreococcus tauri virus 1"	191761	"Ostreococcus tauri virus 1"
"Ostreococcus virus OsV5"	185373	"Ostreococcus virus OsV5"
"Ourmia melon virus"	4852	"Ourmia melon virus"
"Ovine adenovirus A"	66068	"Ovine adenovirus A"
"Ovine adenovirus D"	29576	"Ovine adenovirus D"
"Ovine astrovirus"	6440	"Ovine astrovirus"
"Ovine enzootic nasal tumour virus"	7434	"Ovine enzootic nasal tumour virus"
"Ovine herpesvirus 2"	135135	"Ovine herpesvirus 2"
"Ovine lentivirus"	9256	"Ovine lentivirus"
"Ovine papillomavirus - 1"	7761	"Ovine papillomavirus - 1"
"Oyster mushroom spherical virus"	5784	"Oyster mushroom spherical virus"
"Panax virus Y"	9750	"Panax virus Y"
"Panicum mosaic satellite virus"	826	"Panicum mosaic satellite virus"
"Panicum mosaic virus"	4326	"Panicum mosaic virus"
"Panicum streak virus - Karino"	2705	"Panicum streak virus - Karino"
"Panine herpesvirus 2"	241087	"Panine herpesvirus 2"
"Papaya leaf curl China virus - [G8]"	2751	"Papaya leaf curl China virus - [G8]"
"Papaya leaf curl China virus"	1322	"Papaya leaf curl China virus satellite DNA beta"
"Papaya leaf curl Guandong virus"	2742	"Papaya leaf curl Guandong virus - [GD2] DNA A"
"Papaya leaf curl virus"	4118	"Papaya leaf curl virus"
"Papaya leaf-distortion mosaic potyvirus"	10155	"Papaya leaf-distortion mosaic potyvirus"
"Papaya mosaic virus"	6656	"Papaya mosaic virus"
"Papaya ringspot virus"	10326	"Papaya ringspot virus"
"Papiine herpesvirus 2"	156487	"Papiine herpesvirus 2"
"Paprika mild mottle virus"	6524	"Paprika mild mottle virus"
"Parainfluenza virus 5"	15246	"Parainfluenza virus 5"
"Paralichthys olivaceus birnavirus"	5871	"Paralichthys olivaceus birnavirus segment A"
"Paramecium bursaria Chlorella virus 1"	330743	"Paramecium bursaria Chlorella virus 1"
"Paramecium bursaria Chlorella virus AR158"	344691	"Paramecium bursaria Chlorella virus AR158"
"Paramecium bursaria Chlorella virus FR483"	321240	"Paramecium bursaria Chlorella virus FR483"
"Paramecium bursaria Chlorella virus NY2A"	368683	"Paramecium bursaria Chlorella virus NY2A"
"Parana virus"	10494	"Parana virus segment L"
"Pariacato virus"	4322	"Pariacato virus chromosome RNA1"
"Parietaria mottle virus"	8708	"Parietaria mottle virus RNA 1"
"Parsnip yellow fleck virus"	9871	"Parsnip yellow fleck virus"
"Parvovirus H1"	5176	"Parvovirus H1"
"Passiflora latent carlavirus"	8386	"Passiflora latent carlavirus"
"Passionfruit severe leaf distortion virus"	5316	"Passionfruit severe leaf distortion virus DNA-A"
"Pasteurella phage"	30505	"Pasteurella phage F108"
"Patchouli mild mosaic virus"	9547	"Patchouli mild mosaic virus RNA 1"
"Pea early browning virus"	10447	"Pea early browning virus RNA 1"
"Pea enation mosaic virus"	717	"Pea enation mosaic virus satellite RNA"
"Pea enation mosaic virus-1"	5706	"Pea enation mosaic virus-1"
"Pea enation mosaic virus-2"	4253	"Pea enation mosaic virus-2"
"Pea seed-borne mosaic virus"	9924	"Pea seed-borne mosaic virus"
"Pea stem necrosis virus"	4048	"Pea stem necrosis virus"
"Peach chlorotic mottle virus"	9005	"Peach chlorotic mottle virus"
"Peach mosaic virus"	7988	"Peach mosaic virus"
"Peanut chlorotic streak virus"	8174	"Peanut chlorotic streak virus"
"Peanut clump virus"	10401	"Peanut clump virus RNA 1"
"Peanut mottle virus"	9709	"Peanut mottle virus"
"Peanut stunt virus"	8885	"Peanut stunt virus RNA 1"
"Pear latent virus"	4766	"Pear latent virus"
"Pedilanthus leaf curl virus-Pedilanthus [Pakistan:Multan:2004]"	2764	"Pedilanthus leaf curl virus-Pedilanthus [Pakistan:Multan:2004]"
"Pelargonium chlorotic ring pattern virus"	3904	"Pelargonium chlorotic ring pattern virus"
"Pelargonium flower break virus"	3923	"Pelargonium flower break virus"
"Pelargonium line pattern virus"	3884	"Pelargonium line pattern virus"
"Pelargonium necrotic spot virus"	4744	"Pelargonium necrotic spot virus"
"Pelargonium vein banding virus"	7586	"Pelargonium vein banding virus"
"Pelargonium zonate spot virus"	8477	"Pelargonium zonate spot virus RNA 1"
"Penaeid shrimp infectious myonecrosis virus"	7560	"Penaeid shrimp infectious myonecrosis virus"
"Penaeus merguiensis densovirus"	6321	"Penaeus merguiensis densovirus"
"Penaeus monodon hepatopancreatic parvovirus"	6310	"Penaeus monodon hepatopancreatic parvovirus"
"Penicillium chrysogenum virus"	12640	"Penicillium chrysogenum virus segment 1"
"Penicillium stoloniferum virus F"	3854	"Penicillium stoloniferum virus F segment 1"
"Penicillium stoloniferum virus S"	3336	"Penicillium stoloniferum virus S segment 1"
"Pennisetum mosaic virus"	9611	"Pennisetum mosaic virus"
"Penstemon ringspot virus"	6179	"Penstemon ringspot virus"
"Pepino mosaic virus"	6450	"Pepino mosaic virus"
"Pepper curly top virus"	2931	"Pepper curly top virus"
"Pepper golden mosaic virus"	5208	"Pepper golden mosaic virus DNA A"
"Pepper huasteco yellow vein virus"	5220	"Pepper huasteco yellow vein virus DNA A"
"Pepper leaf curl Bangladesh virus"	2753	"Pepper leaf curl Bangladesh virus segment A component"
"Pepper leaf curl virus"	4105	"Pepper leaf curl virus DNA-A"
"Pepper leaf curl Yunnan virus"	1196	"Pepper leaf curl Yunnan virus satellite DNA beta"
"Pepper leaf curl Yunnan virus-[YN323]"	2747	"Pepper leaf curl Yunnan virus-[YN323]"
"Pepper mild mottle virus"	6357	"Pepper mild mottle virus"
"Pepper mottle virus"	9640	"Pepper mottle virus"
"Pepper ringspot virus"	8627	"Pepper ringspot virus RNA 1"
"Pepper severe mosaic virus"	9890	"Pepper severe mosaic virus"
"Pepper veinal mottle virus"	9792	"Pepper veinal mottle virus"
"Pepper yellow dwarf virus - New Mexico"	2959	"Pepper yellow dwarf virus - New Mexico"
"Pepper yellow leaf curl Indonesia virus"	5476	"Pepper yellow leaf curl Indonesia virus DNA-A"
"Pepper yellow mosaic virus"	9745	"Pepper yellow mosaic virus"
"Pepper yellow vein Mali virus"	2786	"Pepper yellow vein Mali virus"
"Perina nuda virus"	9476	"Perina nuda virus"
"Periplaneta fuliginosa densovirus"	5454	"Periplaneta fuliginosa densovirus"
"Peru tomato mosaic virus"	9899	"Peru tomato mosaic virus"
"Peruvian horse sickness virus"	19748	"Peruvian horse sickness virus segment 1"
"Peste-des-petits-ruminants virus"	15948	"Peste-des-petits-ruminants virus"
"Pestivirus Giraffe-1"	12602	"Pestivirus Giraffe-1"
"Petunia vein clearing virus"	7206	"Petunia vein clearing virus"
"Phage cdtI"	47021	"Phage cdtI"
"Phage Gifsy-1"	48491	"Phage Gifsy-1"
"Phage Gifsy-2"	45840	"Phage Gifsy-2"
"Phage phiJL001"	63649	"Phage phiJL001"
"Phaius virus X"	5816	"Phaius virus X"
"Phlebiopsis gigantea mycovirus dsRNA 1"	11563	"Phlebiopsis gigantea mycovirus dsRNA 1"
"Phlox Virus B"	9058	"Phlox Virus B"
"Phlox virus S"	8590	"Phlox virus S"
"Phocoena spinipinnis papillomavirus"	7879	"Phocoena spinipinnis papillomavirus"
"Phormidium phage"	84187	"Phormidium phage Pf-WMP3"
"Phthorimaea operculella granulovirus"	119217	"Phthorimaea operculella granulovirus"
"Physalis mottle virus"	6673	"Physalis mottle virus"
"Phytophthora endornavirus 1"	13883	"Phytophthora endornavirus 1"
"Phytophthora infestans RNA virus"	6116	"Phytophthora infestans RNA virus 1 RNA1"
"Pichinde virus"	10416	"Pichinde virus"
"Pieris rapae granulovirus"	108592	"Pieris rapae granulovirus"
"Pineapple mealybug wilt-associated virus 1"	13071	"Pineapple mealybug wilt-associated virus 1"
"Pirital virus"	10482	"Pirital virus segment L"
"Planaria asexual strain-specific virus"	7610	"Planaria asexual strain-specific virus-like element type 1 large DNA segment"
"Planococcus citri densovirus"	5380	"Planococcus citri densovirus"
"Plantago asiatica mosaic virus"	6128	"Plantago asiatica mosaic virus"
"Plantago mottle virus"	6154	"Plantago mottle virus"
"Plautia stali intestine virus"	8797	"Plautia stali intestine virus"
"Pleurotus ostreatus virus"	4519	"Pleurotus ostreatus virus 1 RNA-1"
"Plum bark necrosis and stem pitting-associated virus"	14214	"Plum bark necrosis and stem pitting-associated virus"
"Plum pox virus"	9741	"Plum pox virus"
"Plutella xylostella granulovirus"	100999	"Plutella xylostella granulovirus"
"Plutella xylostella multiple nucleopolyhedrovirus"	134417	"Plutella xylostella multiple nucleopolyhedrovirus"
"Pneumonia virus of mice J3666"	14885	"Pneumonia virus of mice J3666"
"Poinsettia cryptic virus"	4652	"Poinsettia cryptic virus"
"Poinsettia mosaic virus"	6099	"Poinsettia mosaic virus"
"Poliovirus"	7440	"Poliovirus"
"Polyomavirus HPyV6"	4926	"Polyomavirus HPyV6"
"Polyomavirus HPyV7"	4952	"Polyomavirus HPyV7"
"Poplar mosaic virus"	8741	"Poplar mosaic virus"
"Porcine adenovirus A"	34094	"Porcine adenovirus A"
"Porcine adenovirus C"	65242	"Porcine adenovirus C"
"Porcine circovirus 1"	1758	"Porcine circovirus 1"
"Porcine circovirus 2"	1768	"Porcine circovirus 2"
"Porcine circovirus Canada-2010a"	1767	"Porcine circovirus Canada-2010a"
"Porcine endogenous retrovirus E"	8072	"Porcine endogenous retrovirus E"
"Porcine enteric sapovirus"	7320	"Porcine enteric sapovirus"
"Porcine enterovirus 8"	7491	"Porcine enterovirus 8"
"Porcine enterovirus B"	7388	"Porcine enterovirus B"
"Porcine epidemic diarrhea virus"	28033	"Porcine epidemic diarrhea virus"
"Porcine hemagglutinating encephalomyelitis virus"	30480	"Porcine hemagglutinating encephalomyelitis virus"
"Porcine kobuvirus swine/S-1-HUN/2007/Hungary"	8210	"Porcine kobuvirus swine/S-1-HUN/2007/Hungary"
"Porcine parvovirus"	5075	"Porcine parvovirus"
"Porcine respiratory and reproductive syndrome virus"	15428	"Porcine respiratory and reproductive syndrome virus"
"Porcine rubulavirus"	15180	"Porcine rubulavirus"
"Porcine teschovirus 1"	7117	"Porcine teschovirus 1"
"Possum enterovirus W1"	7390	"Possum enterovirus W1"
"Possum enterovirus W6"	7391	"Possum enterovirus W6"
"Potato apical leaf curl disease-associated satellite DNA beta"	1367	"Potato apical leaf curl disease-associated satellite DNA beta"
"Potato aucuba mosaic virus"	7059	"Potato aucuba mosaic virus"
"Potato latent virus"	7890	"Potato latent virus"
"Potato leafroll virus"	5987	"Potato leafroll virus"
"Potato mop-top virus"	12141	"Potato mop-top virus RNA 1"
"Potato rough dwarf virus"	8404	"Potato rough dwarf virus"
"Potato virus A"	9585	"Potato virus A"
"Potato virus M"	8533	"Potato virus M"
"Potato virus S"	8478	"Potato virus S"
"Potato virus T"	6539	"Potato virus T"
"Potato virus V"	9848	"Potato virus V"
"Potato virus X"	6435	"Potato virus X"
"Potato virus Y"	9704	"Potato virus Y"
"Potato yellow mosaic Panama virus"	5126	"Potato yellow mosaic Panama virus DNA A"
"Potato yellow mosaic Trinidad virus"	5117	"Potato yellow mosaic Trinidad virus DNA A"
"Potato yellow mosaic virus"	5140	"Potato yellow mosaic virus DNA A"
"Potato yellow vein virus"	17266	"Potato yellow vein virus"
"Pothos latent virus"	4354	"Pothos latent virus"
"Powassan virus"	10839	"Powassan virus"
"Primula malacoides virus"	4734	"Primula malacoides virus China/Mar2007 RNA 1"
"Prochlorococcus phage"	475620	"Prochlorococcus phage P-SSM2"
"Procyon lotor papillomavirus type 1"	8170	"Procyon lotor papillomavirus type 1"
"Propionibacterium phage"	35543	"Propionibacterium phage B5"
"Providence virus"	6155	"Providence virus"
"Prune dwarf virus"	8096	"Prune dwarf virus"
"Prunus necrotic ringspot virus"	7880	"Prunus necrotic ringspot virus RNA 1"
"Pseudaletia unipuncta granulovirus"	176677	"Pseudaletia unipuncta granulovirus"
"Pseudoalteromonas phage"	10079	"Pseudoalteromonas phage PM2"
"Pseudocowpox virus"	145289	"Pseudocowpox virus"
"Pseudomonas phage"	2674366	"Pseudomonas phage 119X"
"Psittacid herpesvirus 1"	163025	"Psittacid herpesvirus 1"
"Psittacus erithacus timneh papillomavirus"	7304	"Psittacus erithacus timneh papillomavirus"
"Pumpkin yellow mosaic Malaysia virus"	2724	"Pumpkin yellow mosaic Malaysia virus DNA A"
"Puumala virus"	12062	"Puumala virus segment L"
"Pyrobaculum spherical virus"	28337	"Pyrobaculum spherical virus"
"Pyrococcus abyssi virus 1"	18098	"Pyrococcus abyssi virus 1"
"Quang Binh virus"	10865	"Quang Binh virus"
"Rabbit calicivirus Australia 1 MIC-07"	7422	"Rabbit calicivirus Australia 1 MIC-07"
"Rabbit fibroma virus"	159857	"Rabbit fibroma virus"
"Rabbit hemorrhagic disease virus-FRG"	7437	"Rabbit hemorrhagic disease virus-FRG"
"Rabbit oral papillomavirus"	7565	"Rabbit oral papillomavirus"
"Rabbit vesivirus"	8380	"Rabbit vesivirus"
"Rabies virus"	11932	"Rabies virus"
"Rachiplusia ou MNPV"	131526	"Rachiplusia ou MNPV"
"Radish leaf curl virus"	6866	"Radish leaf curl virus"
"Radish mosaic virus"	10084	"Radish mosaic virus RNA1"
"Ralstonia phage"	344802	"Ralstonia phage p12J"
"Ramie mosaic virus"	5446	"Ramie mosaic virus DNA-A"
"Ranid herpesvirus 1"	220859	"Ranid herpesvirus 1"
"Ranid herpesvirus 2"	231801	"Ranid herpesvirus 2"
"Raphanus sativus cryptic virus 1 dsRNA 1"	1866	"Raphanus sativus cryptic virus 1 dsRNA 1"
"Raphanus sativus cryptic virus 1 dsRNA 2"	1791	"Raphanus sativus cryptic virus 1 dsRNA 2"
"Raphanus sativus cryptic virus 2"	4723	"Raphanus sativus cryptic virus 2 segment 1"
"Raphanus sativus cryptic virus 3"	3190	"Raphanus sativus cryptic virus 3 segment 1"
"Raspberry bushy dwarf virus"	7680	"Raspberry bushy dwarf virus RNA 1"
"Raspberry leaf mottle virus"	17481	"Raspberry leaf mottle virus"
"Raspberry ringspot virus"	11849	"Raspberry ringspot virus RNA 2"
"Rat coronavirus Parker"	31250	"Rat coronavirus Parker"
"Rattus norvegicus papillomavirus 1 EES-2009"	7378	"Rattus norvegicus papillomavirus 1 EES-2009"
"Rauscher murine leukemia virus"	8282	"Rauscher murine leukemia virus"
"Raven circovirus"	1898	"Raven circovirus"
"RD114 retrovirus"	8406	"RD114 retrovirus"
"Red clover mottle virus"	9576	"Red clover mottle virus RNA 1"
"Red clover necrotic mosaic virus"	5338	"Red clover necrotic mosaic virus RNA 1"
"Red clover vein mosaic virus"	8604	"Red clover vein mosaic virus"
"Redspotted grouper nervous necrosis virus"	4539	"Redspotted grouper nervous necrosis virus RNA 1"
"Rehmannia mosaic virus"	6395	"Rehmannia mosaic virus"
"Respiratory syncytial virus"	15191	"Respiratory syncytial virus"
"Reston ebolavirus"	18891	"Reston ebolavirus"
"Reticuloendotheliosis virus"	8295	"Reticuloendotheliosis virus"
"Rhesus monkey papillomavirus 1"	8028	"Rhesus monkey papillomavirus 1"
"Rhizobium phage"	60195	"Rhizobium phage 16-3"
"Rhizoctonia solani virus"	4569	"Rhizoctonia solani virus 717 RNA1"
"Rhododendron virus A"	3427	"Rhododendron virus A"
